availability, basedUpon, checkSum, fileName, fileSize, isForced, name, requires, system, type, url, version
forDeliveringThroughApi, , B9CF0CCC7E4B442D5E06282ACEDB120C, BMW_ISPI_iLean_ISPI_Admin_Client_5.1.6.181.msi, 7614464, False, ISPI Admin Client, , Admin Client, 1, http://127.0.0.1, 5.1.6.181
forDeliveringThroughApi, , 6923CDC8F72FC80E6C3B4C28FA68B3B8, BMW_ISPI_iLean_ISPI_Admin_Client_5.2.8.217.msi, 7737344, False, ISPI Admin Client, , Admin Client, 1, http://127.0.0.1, 5.2.8.217
forDeliveringThroughApi, , 2505CAD4F681266941D38926176268B6, BMW_ISPI_HDD-Update_2.8.6624.19738.msi, 7376896, False, HDD-Update, , HDD Update, 1, http://127.0.0.1, 2.8.6624.19738
forDeliveringThroughApi, , 0AA7060F5050D76D3FD1C8467B042C50, BMW_ISPI_ICOM-FW_03-15-02.msi, 108322816, False, BMW_ISPI_ICOM-FW_03-15-02, , ISTA Launcher, 2, http://127.0.0.1, 03-15-02
forDeliveringThroughApi, , 42183D9DF03EEC7FEFBB0120CE227D2D, BMW_ISPI_ICOM-Next-FW_03-15-00.msi, 241172480, False, BMW_ISPI_ICOM-Next-FW_03-15-00, , ISTA Launcher, 2, http://127.0.0.1, 03-15-00
forDeliveringThroughApi, , D72F239E449725AB83A6C910EBE44433, BMW_ISPI_ISTA_DELTA-SDP_4.10.13.istapackage, 7074517596, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.13, , ISTA SDP, 1, http://127.0.0.1, 4.10.13
forDeliveringThroughApi, , E85FC8E836F23621500201BB0F957B0E, BMW_ISPI_ISTA_DELTA-SDP_4.10.14.istapackage, 151525661, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.14, , ISTA SDP, 1, http://127.0.0.1, 4.10.14
forDeliveringThroughApi, , 15808233D1BAACC1FF7C27EC6471D14C, BMW_ISPI_ISTA_DELTA-SDP_4.10.20.istapackage, 1216848108, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.20, , ISTA SDP, 1, http://127.0.0.1, 4.10.20
forDeliveringThroughApi, , 37134A23928E7D7E13F22032A6EF12A7, BMW_ISPI_ISTA_DELTA-SDP_4.10.21.istapackage, 365351328, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.21, , ISTA SDP, 1, http://127.0.0.1, 4.10.21
forDeliveringThroughApi, , 8187E77EF22566D9D084255219F11812, BMW_ISPI_ISTA_DELTA-SDP_4.10.30.istapackage, 449567197, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.30, , ISTA SDP, 1, http://127.0.0.1, 4.10.30
forDeliveringThroughApi, , 73777DDACCD10867C96AD0C2491AB6F6, BMW_ISPI_ISTA_DELTA-SDP_4.10.40.istapackage, 4098213767, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.40, , ISTA SDP, 1, http://127.0.0.1, 4.10.40
forDeliveringThroughApi, , 8ADEC872CEFB66DC208D1AEF878AA3CD, BMW_ISPI_ISTA_DELTA-SDP_4.10.41.istapackage, 71631120, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.41, , ISTA SDP, 1, http://127.0.0.1, 4.10.41
forDeliveringThroughApi, , 44774651F068E6079119B1DF2AE94984, BMW_ISPI_ISTA_DELTA-SDP_4.10.42.istapackage, 3002819448, False, BMW_ISPI_ISTA_DELTA-SDP_4.10.42, , ISTA SDP, 1, http://127.0.0.1, 4.10.42
forDeliveringThroughApi, , 8DB8DEE319BBF09E797B7FA7D1A9AFE2, BMW_ISPI_ISTA_FULL-SDP_4.10.13.istapackage, 47934160446, False, BMW_ISPI_ISTA_FULL-SDP_4.10.13, , ISTA SDP, 1, http://127.0.0.1, 4.10.13
forDeliveringThroughApi, , 8B4444A8B2F679BB30DB6C8DCD43AFB4, BMW_ISPI_ISTA-APP_4.10.15.15600.msi, 519938048, False, BMW_ISPI_ISTA-APP_4.10.15.15600, , ISTA NF, 1, http://127.0.0.1, 4.10.15.15600
forDeliveringThroughApi, , 6A42CFB1648E07C3B331CAB3D0CFC8F5, BMW_ISPI_ISTA-APP_4.10.20.15602.msi, 519942144, False, BMW_ISPI_ISTA-APP_4.10.20.15602, , ISTA NF, 1, http://127.0.0.1, 4.10.20.15602
forDeliveringThroughApi, , D434C5490A94B3B7B0CCBA8BEFE679BF, BMW_ISPI_ISTA-APP_4.10.30.15635.msi, 520089600, False, BMW_ISPI_ISTA-APP_4.10.30.15635, , ISTA NF, 1, http://127.0.0.1, 4.10.30.15635
forDeliveringThroughApi, , 6B026F496569BE94CEA6AC1A5257AB71, BMW_ISPI_ISTA-APP_4.10.41.15639.msi, 519995392, False, BMW_ISPI_ISTA-APP_4.10.41.15639, , ISTA NF, 1, http://127.0.0.1, 4.10.41.15639
forDeliveringThroughApi, , 17C62838924C02660BE094CA45CC65EC, BMW_ISPI_ISTA-BLP_4.10.13.istapackage, 956689603, False, BMW_ISPI_ISTA-BLP_4.10.13, , ISTA SDP, 2, http://127.0.0.1, 4.10.13
forDeliveringThroughApi, , 3B79A5D00DA37B4D2A24F5A62AB09E58, BMW_ISPI_ISTA-BLP_4.10.14.istapackage, 957852697, False, BMW_ISPI_ISTA-BLP_4.10.14, , ISTA SDP, 2, http://127.0.0.1, 4.10.14
forDeliveringThroughApi, , 47FA214402EED27829B3C68BE46DD361, BMW_ISPI_ISTA-BLP_4.10.20.istapackage, 972442962, False, BMW_ISPI_ISTA-BLP_4.10.20, , ISTA SDP, 2, http://127.0.0.1, 4.10.20
